time,filename,opd_retrieved,tip_retrieved,tilt_retrieved,x_center_retrieved,y_center_retrieved
1577964898.382759,psf_trial6_00007161.fits,0.874966,1.863169,-4.658903,51.000000,46.000000
1577964899.200399,psf_trial6_00007167.fits,0.143153,-0.866402,15.788732,51.000000,45.000000
1577964900.016103,psf_trial6_00007172.fits,0.143153,-0.866402,15.788732,51.000000,45.000000
1577964900.829650,psf_trial6_00007178.fits,0.615531,5.586304,-13.759296,51.000000,46.000000
1577964901.651993,psf_trial6_00007184.fits,-0.514283,5.858094,13.589604,51.000000,45.000000
1577964902.484325,psf_trial6_00007189.fits,0.129106,0.285753,-5.224669,51.000000,46.000000
1577964903.552826,psf_trial6_00007195.fits,-0.764530,3.464017,8.149243,51.000000,45.000000
1577964904.368733,psf_trial6_00007201.fits,-0.266729,0.848179,5.288252,51.000000,45.000000
1577964905.185554,psf_trial6_00007207.fits,-0.264001,3.740907,6.500803,51.000000,45.000000
1577964906.006634,psf_trial6_00007212.fits,-0.267974,-1.264098,5.224430,51.000000,45.000000
1577964906.828299,psf_trial6_00007218.fits,0.615003,-1.388036,-13.584076,51.000000,46.000000
1577964907.657776,psf_trial6_00007224.fits,0.615212,-0.441143,-13.540164,51.000000,46.000000
1577964908.486627,psf_trial6_00007230.fits,0.233676,-5.881955,11.335541,51.000000,45.000000
1577964909.301368,psf_trial6_00007235.fits,0.479985,-6.401287,6.176364,51.000000,45.000000
1577964910.128459,psf_trial6_00007241.fits,0.480410,-7.263323,6.215592,51.000000,45.000000
1577964910.961317,psf_trial6_00007247.fits,0.480242,-4.674829,5.028150,51.000000,45.000000
1577964911.782018,psf_trial6_00007253.fits,0.233804,-5.203674,11.358872,51.000000,45.000000
1577964912.613819,psf_trial6_00007258.fits,0.235655,-7.036013,11.548587,51.000000,45.000000
1577964913.451600,psf_trial6_00007264.fits,0.569315,-6.046087,0.559009,51.000000,45.000000
1577964914.276432,psf_trial6_00007270.fits,0.327550,-5.474879,8.357937,51.000000,45.000000
1577964915.103246,psf_trial6_00007276.fits,0.325395,-8.338470,8.382212,51.000000,45.000000
1577964915.924911,psf_trial6_00007281.fits,0.325395,-8.338470,8.382212,51.000000,45.000000
1577964916.770266,psf_trial6_00007287.fits,0.668208,11.248849,-1.896140,50.000000,45.000000
1577964917.600299,psf_trial6_00007293.fits,0.821645,9.271921,3.816766,50.000000,45.000000
1577964918.416868,psf_trial6_00007299.fits,1.173065,10.805320,2.679266,50.000000,45.000000
1577964919.236414,psf_trial6_00007304.fits,1.173065,10.805320,2.679266,50.000000,45.000000
1577964920.049425,psf_trial6_00007310.fits,1.055239,-10.907902,5.065176,51.000000,45.000000
