time,filename,opd_retrieved,tip_retrieved,tilt_retrieved,y_center_retrieved,x_center_retrieved
1577954545.714765,psf_trial2_00004480.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
1577954546.475482,psf_trial2_00004485.fits,-1.604386,-0.048037,-1.181091,50.000000,50.000000
1577954547.248950,psf_trial2_00004491.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
1577954548.007327,psf_trial2_00004496.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
1577954548.769166,psf_trial2_00004501.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
1577954549.528378,psf_trial2_00004507.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
1577954550.303940,psf_trial2_00004512.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
1577954551.072295,psf_trial2_00004517.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
1577954551.828938,psf_trial2_00004523.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
1577954552.597375,psf_trial2_00004528.fits,-1.604386,-0.048037,-1.181091,50.000000,50.000000
1577954553.362195,psf_trial2_00004533.fits,-1.604386,-0.048037,-1.181091,50.000000,50.000000
1577954554.136023,psf_trial2_00004539.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
1577954554.906373,psf_trial2_00004544.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
1577954555.671499,psf_trial2_00004549.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
1577954556.513369,psf_trial2_00004555.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
1577954557.289606,psf_trial2_00004561.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
1577954558.076706,psf_trial2_00004566.fits,-1.104017,-0.025503,-2.735468,50.000000,50.000000
1577954558.849055,psf_trial2_00004571.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
1577954559.629560,psf_trial2_00004577.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
1577954560.391343,psf_trial2_00004582.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
1577954561.167046,psf_trial2_00004587.fits,-1.604386,-0.048037,-1.181091,50.000000,50.000000
1577954561.924137,psf_trial2_00004593.fits,-1.604386,-0.048037,-1.181091,50.000000,50.000000
1577954562.696728,psf_trial2_00004598.fits,-1.859109,1.688587,6.665559,50.000000,50.000000
1577954563.462149,psf_trial2_00004604.fits,1.778520,0.063427,3.648166,50.000000,50.000000
1577954564.227564,psf_trial2_00004609.fits,-1.859109,1.688587,6.665559,50.000000,50.000000
1577954564.986378,psf_trial2_00004614.fits,-1.859109,1.688587,6.665559,50.000000,50.000000
1577954565.762955,psf_trial2_00004619.fits,-1.859109,1.688587,6.665559,50.000000,50.000000
1577954566.528565,psf_trial2_00004625.fits,-1.859109,1.688587,6.665559,50.000000,50.000000
1577954567.294571,psf_trial2_00004630.fits,1.778520,0.063427,3.648166,50.000000,50.000000
1577954568.067885,psf_trial2_00004635.fits,-1.859109,1.688587,6.665559,50.000000,50.000000
1577954568.851969,psf_trial2_00004641.fits,1.778520,0.063427,3.648166,50.000000,50.000000
1577954569.611825,psf_trial2_00004646.fits,1.512085,-0.042892,-1.742678,50.000000,50.000000
1577954570.391958,psf_trial2_00004652.fits,1.274028,-0.038176,-2.649446,50.000000,50.000000
1577954571.156010,psf_trial2_00004657.fits,1.274028,-0.038176,-2.649446,50.000000,50.000000
1577954571.935656,psf_trial2_00004662.fits,0.764354,0.005714,0.877106,50.000000,50.000000
1577954572.697593,psf_trial2_00004668.fits,1.027406,0.077674,3.011287,50.000000,50.000000
1577954573.463753,psf_trial2_00004673.fits,1.027406,0.077674,3.011287,50.000000,50.000000
1577954574.249316,psf_trial2_00004679.fits,1.274028,-0.038176,-2.649446,50.000000,50.000000
1577954575.017803,psf_trial2_00004684.fits,1.274028,-0.038176,-2.649446,50.000000,50.000000
1577954575.782411,psf_trial2_00004689.fits,1.027406,0.077674,3.011287,50.000000,50.000000
1577954576.550311,psf_trial2_00004694.fits,1.027406,0.077674,3.011287,50.000000,50.000000
1577954577.452179,psf_trial2_00004700.fits,0.764354,0.005714,0.877106,50.000000,50.000000
1577954578.219029,psf_trial2_00004706.fits,0.764354,0.005714,0.877106,50.000000,50.000000
1577954578.999631,psf_trial2_00004711.fits,0.764354,0.005714,0.877106,50.000000,50.000000
1577954579.761777,psf_trial2_00004717.fits,1.027406,0.077674,3.011287,50.000000,50.000000
1577954580.533998,psf_trial2_00004722.fits,1.027406,0.077674,3.011287,50.000000,50.000000
1577954581.308000,psf_trial2_00004727.fits,0.764354,0.005714,0.877106,50.000000,50.000000
1577954582.072006,psf_trial2_00004733.fits,0.764354,0.005714,0.877106,50.000000,50.000000
1577954582.836963,psf_trial2_00004738.fits,0.764354,0.005714,0.877106,50.000000,50.000000
1577954583.601321,psf_trial2_00004743.fits,0.764354,0.005714,0.877106,50.000000,50.000000
1577954584.388533,psf_trial2_00004749.fits,0.519409,-0.046892,-5.133597,50.000000,50.000000
1577954585.166829,psf_trial2_00004754.fits,0.519409,-0.046892,-5.133597,50.000000,50.000000
1577954585.943666,psf_trial2_00004759.fits,0.519409,-0.046892,-5.133597,50.000000,50.000000
1577954586.714986,psf_trial2_00004765.fits,0.519409,-0.046892,-5.133597,50.000000,50.000000
1577954587.482639,psf_trial2_00004770.fits,0.270843,0.053432,4.064478,50.000000,50.000000
1577954588.249227,psf_trial2_00004775.fits,0.017362,0.015525,0.763699,50.000000,50.000000
1577954589.019826,psf_trial2_00004781.fits,0.270843,0.053432,4.064478,50.000000,50.000000
1577954589.793928,psf_trial2_00004786.fits,0.270843,0.053432,4.064478,50.000000,50.000000
1577954590.584667,psf_trial2_00004792.fits,0.519409,-0.046892,-5.133597,50.000000,50.000000
1577954591.348313,psf_trial2_00004797.fits,0.519409,-0.046892,-5.133597,50.000000,50.000000
1577954592.115296,psf_trial2_00004802.fits,0.764354,0.005714,0.877106,50.000000,50.000000
1577954592.882295,psf_trial2_00004808.fits,1.274028,-0.038176,-2.649446,50.000000,50.000000
